Time,SP,Tin,Time01,hour,IncO01,Weekdays,Step,Time03,IncO,Month,days,days01
2020-11-06 8:14,23.029,22.749,8,0,,Friday,19107,8,0,November,66,0
2020-11-06 8:19,23.029,22.749,8,0,,Friday,19108,8,0,November,66,0
2020-11-06 8:24,23.029,22.749,8,0,,Friday,19109,8,0,November,66,0
2020-11-06 8:29,23.029,22.749,8,0,,Friday,19110,8,0,November,66,0
2020-11-06 8:34,23.029,22.749,8,0,,Friday,19111,8,0,November,66,0
2020-11-06 8:39,23.029,22.749,8,0,,Friday,19112,8,0,November,66,0
2020-11-06 8:44,23.029,22.749,8,0,,Friday,19113,8,0,November,66,0
2020-11-06 8:49,23.029,22.749,8,0,,Friday,19114,8,0,November,66,0
2020-11-06 8:54,23.029,22.749,8,0,,Friday,19115,8,0,November,66,0
2020-11-06 8:59,23.029,22.749,8,1,,Friday,19116,8,0,November,66,0
2020-11-06 9:04,23.029,22.749,9,0,,Friday,19117,9,0,November,66,0
2020-11-06 9:09,23.029,22.749,9,0,,Friday,19118,9,0,November,66,0
2020-11-06 9:14,23.029,22.749,9,0,,Friday,19119,9,0,November,66,0
2020-11-06 9:19,23.029,22.749,9,0,,Friday,19120,9,0,November,66,0
2020-11-06 9:24,23.029,22.749,9,0,,Friday,19121,9,0,November,66,0
2020-11-06 9:29,23.029,22.749,9,0,,Friday,19122,9,0,November,66,0
2020-11-06 9:34,23.029,22.749,9,0,,Friday,19123,9,0,November,66,0
2020-11-06 9:39,23.029,22.749,9,0,,Friday,19124,9,0,November,66,0
2020-11-06 9:44,23.029,22.749,9,0,,Friday,19125,9,0,November,66,0
2020-11-06 9:49,23.029,22.749,9,0,,Friday,19126,9,0,November,66,0
2020-11-06 9:54,23.029,22.749,9,0,,Friday,19127,9,0,November,66,0
2020-11-06 9:59,23.029,22.749,9,1,,Friday,19128,9,0,November,66,0
2020-11-06 10:04,23.029,22.749,10,0,,Friday,19129,10,0,November,66,0
2020-11-06 10:09,23.029,22.749,10,0,,Friday,19130,10,0,November,66,0
2020-11-06 10:14,23.029,22.749,10,0,,Friday,19131,10,0,November,66,0
2020-11-06 10:19,23.029,22.749,10,0,,Friday,19132,10,0,November,66,0
2020-11-06 10:24,23.029,22.749,10,0,,Friday,19133,10,0,November,66,0
2020-11-06 10:29,23.029,22.749,10,0,,Friday,19134,10,0,November,66,0
2020-11-06 10:34,23.029,22.749,10,0,,Friday,19135,10,0,November,66,0
2020-11-06 10:39,23.029,22.749,10,0,,Friday,19136,10,0,November,66,0
2020-11-06 10:44,23.029,22.749,10,0,,Friday,19137,10,0,November,66,0
2020-11-06 10:49,23.029,22.749,10,0,,Friday,19138,10,0,November,66,0
2020-11-06 10:54,23.029,22.749,10,0,,Friday,19139,10,0,November,66,0
2020-11-06 10:59,23.029,22.749,10,1,,Friday,19140,10,0,November,66,0
2020-11-06 11:04,23.029,22.749,11,0,,Friday,19141,11,0,November,66,0
2020-11-06 11:09,23.029,22.749,11,0,,Friday,19142,11,0,November,66,0
2020-11-06 11:14,23.029,22.749,11,0,,Friday,19143,11,0,November,66,0
2020-11-06 11:19,23.029,22.749,11,0,,Friday,19144,11,0,November,66,0
2020-11-06 11:24,23.029,22.749,11,0,,Friday,19145,11,0,November,66,0
2020-11-06 11:29,23.029,22.749,11,0,,Friday,19146,11,0,November,66,0
2020-11-06 11:34,23.029,22.749,11,0,,Friday,19147,11,0,November,66,0
2020-11-06 11:39,23.029,22.749,11,0,,Friday,19148,11,0,November,66,0
